"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","High Needs","88.6%","10.7","41.1%","42.1%","18.7%","36.4%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","English Learners","87.9%","11.6","64.3%","64.3%","14.3%","64.3%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Low Income","88%","11.3","44.1%","46.2%","20.4%","38.7%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Students with Disabilities","88.9%","10.1","38.5%","38.5%","20%","30.8%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Female","89.5%","10","45.3%","43.4%","11.3%","35.8%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Male","89.7%","9.8","32%","33.3%","18.7%","30.7%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","All Students","91.3%","9.1","38.4%","34.1%","8.4%","21.1%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","American Indian or Alaska Native",,,,,,,"Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Asian",,,,,,,"Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Black or African American","93.9%","6.4","24%","23%","6%","11%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Hispanic or Latino","90.3%","10.1","42.9%","37.4%","9.7%","24.6%","Springfield - Benjamin Swan Elementary"
"2026","March","02810000","Springfield","02810085","Benjamin Swan Elementary","School","Multi-Race, Not Hispanic or Latino","94%","6.2","28.1%","25%","0%","9.4%","Springfield - Benjamin Swan Elementary"
