"SY","DIST_CODE","DIST_NAME","IND_CAT","IND_SUBCAT","IND_VALUE","IND_VALUE_TYPE"
"2020","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","5,363.2","Count"
"2020","02810000","Springfield","Student Enrollment","Total FTE Pupils","30,269.5","Count"
"2020","02810000","Springfield","Student Demographics","English learner % Headcount","17.6","Percent"
"2020","02810000","Springfield","Student Demographics","Low-Income % Headcount","77.6","Percent"
"2020","02810000","Springfield","Student Demographics","Student Headcount","25,007","Count"
"2020","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","24.4","Percent"
"2020","02810000","Springfield","Teacher Salaries","Average Teacher Salary","70,854","Amount"
"2020","02810000","Springfield","Teacher Salaries","Teacher FTE","2,040.2","Count"
"2020","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8.2","Count"
"2020","02810000","Springfield","Other Staff","Instructional Coach FTE","89.2","Count"
"2020","02810000","Springfield","Other Staff","Instructional Support FTE","128","Count"
"2020","02810000","Springfield","Other Staff","Paraprofessional FTE","703.8","Count"
"2020","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","15","Count"
"2020","02810000","Springfield","Expenditures Per Pupil","Administration","407","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","483","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,090","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,382","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","3,001","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,093","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,390","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Professional Development","383","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,148","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Teachers","5,800","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","16,932","Amount"
"2020","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","17,177","Amount"
"2019","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,293.6","Count"
"2019","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","5,150.4","Count"
"2019","02810000","Springfield","Student Enrollment","Total FTE Pupils","30,444","Count"
"2019","02810000","Springfield","Student Demographics","English learner % Headcount","17.3","Percent"
"2019","02810000","Springfield","Student Demographics","Low-Income % Headcount","76.7","Percent"
"2019","02810000","Springfield","Student Demographics","Student Headcount","25,297","Count"
"2019","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","23.5","Percent"
"2019","02810000","Springfield","Teacher Salaries","Average Teacher Salary","71,511","Amount"
"2019","02810000","Springfield","Teacher Salaries","Teacher FTE","1,949.6","Count"
"2019","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","7.7","Count"
"2019","02810000","Springfield","Other Staff","Instructional Coach FTE","85.2","Count"
"2019","02810000","Springfield","Other Staff","Instructional Support FTE","166.8","Count"
"2019","02810000","Springfield","Other Staff","Paraprofessional FTE","694","Count"
"2019","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","19","Count"
"2019","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","29.9","Percent"
"2019","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","29.9","Percent"
"2019","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","24.1","Percent"
"2019","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","25.1","Percent"
"2019","02810000","Springfield","Expenditures Per Pupil","Administration","416","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","469","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","983","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,393","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,765","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,337","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,357","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Professional Development","280","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,499","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Teachers","5,510","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","16,730","Amount"
"2019","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","17,009","Amount"
"2018","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,776","Count"
"2018","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","4,811.9","Count"
"2018","02810000","Springfield","Student Enrollment","Total FTE Pupils","30,587.9","Count"
"2018","02810000","Springfield","Student Demographics","English learner % Headcount","15.7","Percent"
"2018","02810000","Springfield","Student Demographics","Low-Income % Headcount","77.1","Percent"
"2018","02810000","Springfield","Student Demographics","Student Headcount","25,604","Count"
"2018","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","21.9","Percent"
"2018","02810000","Springfield","Teacher Salaries","Average Teacher Salary","70,998","Amount"
"2018","02810000","Springfield","Teacher Salaries","Teacher FTE","1,916.8","Count"
"2018","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","7.4","Count"
"2018","02810000","Springfield","Other Staff","Instructional Coach FTE","56","Count"
"2018","02810000","Springfield","Other Staff","Instructional Support FTE","168","Count"
"2018","02810000","Springfield","Other Staff","Paraprofessional FTE","619","Count"
"2018","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","18","Count"
"2018","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","74","Percent"
"2018","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","29.5","Percent"
"2018","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","46.8","Percent"
"2018","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","24.4","Percent"
"2018","02810000","Springfield","Expenditures Per Pupil","Administration","490","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","438","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,060","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,010","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,635","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,156","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,036","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Professional Development","361","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,407","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Teachers","5,274","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","15,798","Amount"
"2018","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","15,865","Amount"
"2017","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,628.7","Count"
"2017","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","4,596.3","Count"
"2017","02810000","Springfield","Student Enrollment","Total FTE Pupils","30,225","Count"
"2017","02810000","Springfield","Student Demographics","English learner % Headcount","15.6","Percent"
"2017","02810000","Springfield","Student Demographics","Low-Income % Headcount","74.3","Percent"
"2017","02810000","Springfield","Student Demographics","Student Headcount","25,633","Count"
"2017","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","20.8","Percent"
"2017","02810000","Springfield","Teacher Salaries","Teacher FTE","2,056.5","Count"
"2017","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8","Count"
"2017","02810000","Springfield","Other Staff","Instructional Coach FTE","82.4","Count"
"2017","02810000","Springfield","Other Staff","Instructional Support FTE","198","Count"
"2017","02810000","Springfield","Other Staff","Paraprofessional FTE","655","Count"
"2017","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","0","Count"
"2017","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","73.4","Percent"
"2017","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","26.1","Percent"
"2017","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","44.7","Percent"
"2017","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","23.5","Percent"
"2017","02810000","Springfield","Expenditures Per Pupil","Administration","507","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","391","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,280","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","949","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,562","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,063","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,070","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Professional Development","337","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,222","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Teachers","4,962","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","15,260","Amount"
"2017","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","15,342","Amount"
"2016","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,009.3","Count"
"2016","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","4,406.5","Count"
"2016","02810000","Springfield","Student Enrollment","Total FTE Pupils","29,415.8","Count"
"2016","02810000","Springfield","Student Demographics","English learner % Headcount","16.3","Percent"
"2016","02810000","Springfield","Student Demographics","Low-Income % Headcount","67.2","Percent"
"2016","02810000","Springfield","Student Demographics","Student Headcount","25,479","Count"
"2016","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","19.8","Percent"
"2016","02810000","Springfield","Teacher Salaries","Teacher FTE","2,065.2","Count"
"2016","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8.3","Count"
"2016","02810000","Springfield","Other Staff","Instructional Coach FTE","81.2","Count"
"2016","02810000","Springfield","Other Staff","Instructional Support FTE","215","Count"
"2016","02810000","Springfield","Other Staff","Paraprofessional FTE","709","Count"
"2016","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","0","Count"
"2016","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","76.9","Percent"
"2016","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","76.9","Percent"
"2016","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","43.2","Percent"
"2016","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","43.2","Percent"
"2016","02810000","Springfield","Expenditures Per Pupil","Administration","580","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","389","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,282","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,055","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2,566","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,027","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,135","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Professional Development","321","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,078","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Teachers","5,196","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","15,435","Amount"
"2016","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","15,629","Amount"
"2015","02810000","Springfield","Student Enrollment","In-District FTE Pupils","25,100.9","Count"
"2015","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","3,974.3","Count"
"2015","02810000","Springfield","Student Enrollment","Total FTE Pupils","29,075.2","Count"
